Provider ID,Measure Name,Measure ID,Compared to National,Score
340002,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340002,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340002,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,No Different than National Benchmark,0.849
340002,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,No Different than National Benchmark,2.099
340002,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,No Different than National Benchmark,514
340002,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,No Different than National Benchmark,13.874
340002,SSI: Colon Observed Cases,HAI_3_NUMERATOR,No Different than National Benchmark,19
340002,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,No Different than National Benchmark,1.369
340002,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,No Different than National Benchmark,0.329
340002,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,No Different than National Benchmark,2.499
340002,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,No Different than National Benchmark,480
340002,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,No Different than National Benchmark,3.861
340002,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,No Different than National Benchmark,4
340002,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,No Different than National Benchmark,1.036
340002,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than National Benchmark,0.47
340002,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than National Benchmark,1.352
340002,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than National Benchmark,207706
340002,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than National Benchmark,16.965
340002,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than National Benchmark,14
340002,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than National Benchmark,0.825
340002,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.747
340002,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,1.04
340002,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,188068
340002,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,158.281
340002,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,140
340002,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,0.885
340003,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340003,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340003,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340003,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340003,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340003,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340003,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340003,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340003,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340003,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340003,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340003,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340003,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,Not Available,Not Available
340003,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,Not Available,Not Available
340003,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,Not Available,35
340003,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,Not Available,0.848
340003,SSI: Colon Observed Cases,HAI_3_NUMERATOR,Not Available,0
340003,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,Not Available,Not Available
340003,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,Not Available,Not Available
340003,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,Not Available,Not Available
340003,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,Not Available,30
340003,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,Not Available,0.264
340003,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,Not Available,1
340003,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,Not Available,Not Available
340003,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,Not Available,Not Available
340003,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,Not Available,Not Available
340003,MRSA Patient Days,HAI_5_DOPC_DAYS,Not Available,15702
340003,MRSA Predicted Cases,HAI_5_ELIGCASES,Not Available,0.767
340003,MRSA Observed Cases,HAI_5_NUMERATOR,Not Available,0
340003,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,Not Available,Not Available
340003,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.416
340003,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,1.565
340003,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,15015
340003,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,10.551
340003,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,9
340003,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,0.853
340004,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340004,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340004,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340004,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340004,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340004,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340004,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340004,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340004,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340004,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340004,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340004,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340004,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,Better than the National Benchmark,Not Available
340004,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,Better than the National Benchmark,0.8
340004,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,Better than the National Benchmark,136
340004,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,Better than the National Benchmark,3.744
340004,SSI: Colon Observed Cases,HAI_3_NUMERATOR,Better than the National Benchmark,0
340004,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,Better than the National Benchmark,0
340004,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,No Different than National Benchmark,0.032
340004,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,No Different than National Benchmark,3.184
340004,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,No Different than National Benchmark,188
340004,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,No Different than National Benchmark,1.549
340004,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,No Different than National Benchmark,1
340004,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,No Different than National Benchmark,0.646
340004,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than National Benchmark,0.12
340004,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than National Benchmark,2.362
340004,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than National Benchmark,74874
340004,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than National Benchmark,2.797
340004,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than National Benchmark,2
340004,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than National Benchmark,0.715
340004,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.843
340004,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,1.357
340004,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,71838
340004,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,63.124
340004,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,68
340004,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,1.077
340008,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340008,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340008,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340008,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340008,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340008,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340008,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340008,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340008,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340008,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340008,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340008,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340008,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,Not Available,Not Available
340008,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,Not Available,Not Available
340008,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,Not Available,34
340008,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,Not Available,0.915
340008,SSI: Colon Observed Cases,HAI_3_NUMERATOR,Not Available,0
340008,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,Not Available,Not Available
340008,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,Not Available,Not Available
340008,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,Not Available,Not Available
340008,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,Not Available,51
340008,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,Not Available,0.457
340008,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,Not Available,0
340008,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,Not Available,Not Available
340008,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,Not Available,Not Available
340008,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,Not Available,Not Available
340008,MRSA Patient Days,HAI_5_DOPC_DAYS,Not Available,21632
340008,MRSA Predicted Cases,HAI_5_ELIGCASES,Not Available,0.519
340008,MRSA Observed Cases,HAI_5_NUMERATOR,Not Available,1
340008,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,Not Available,Not Available
340008,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.081
340008,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,1.587
340008,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,19825
340008,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,4.163
340008,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,2
340008,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,0.48
340010,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340010,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340010,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340010,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340010,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340010,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340010,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340010,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340010,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340010,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340010,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340010,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340010,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,No Different than National Benchmark,0.014
340010,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,No Different than National Benchmark,1.36
340010,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,No Different than National Benchmark,131
340010,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,No Different than National Benchmark,3.626
340010,SSI: Colon Observed Cases,HAI_3_NUMERATOR,No Different than National Benchmark,1
340010,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,No Different than National Benchmark,0.276
340010,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,No Different than National Benchmark,0.042
340010,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,No Different than National Benchmark,4.162
340010,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,No Different than National Benchmark,139
340010,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,No Different than National Benchmark,1.185
340010,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,No Different than National Benchmark,1
340010,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,No Different than National Benchmark,0.844
340010,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,No Different than National Benchmark,0.519
340010,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,No Different than National Benchmark,3.939
340010,MRSA Patient Days,HAI_5_DOPC_DAYS,No Different than National Benchmark,51113
340010,MRSA Predicted Cases,HAI_5_ELIGCASES,No Different than National Benchmark,2.449
340010,MRSA Observed Cases,HAI_5_NUMERATOR,No Different than National Benchmark,4
340010,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,No Different than National Benchmark,1.633
340010,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.453
340010,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,1.03
340010,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,48249
340010,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,32.967
340010,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,23
340010,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,0.698
340013,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340013,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340013,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340013,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340013,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340013,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340013,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340013,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340013,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340013,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340013,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340013,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340013,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,Not Available,Not Available
340013,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,Not Available,Not Available
340013,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,Not Available,34
340013,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,Not Available,0.846
340013,SSI: Colon Observed Cases,HAI_3_NUMERATOR,Not Available,1
340013,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,Not Available,Not Available
340013,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,Not Available,Not Available
340013,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,Not Available,Not Available
340013,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,Not Available,31
340013,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,Not Available,0.279
340013,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,Not Available,0
340013,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,Not Available,Not Available
340013,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,Not Available,Not Available
340013,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,Not Available,Not Available
340013,MRSA Patient Days,HAI_5_DOPC_DAYS,Not Available,15724
340013,MRSA Predicted Cases,HAI_5_ELIGCASES,Not Available,0.695
340013,MRSA Observed Cases,HAI_5_NUMERATOR,Not Available,1
340013,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,Not Available,Not Available
340013,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.702
340013,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,2.019
340013,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,14735
340013,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,11.359
340013,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,14
340013,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,1.232
340014,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340014,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340014,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340014,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340014,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340014,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340014,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340014,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340014,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340014,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
340014,CAUTI: Observed Cases,HAI_2_NUMERATOR,Not Available,Not Available
340014,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available
340014,SSI: Colon Lower Confidence Limit,HAI_3_CI_LOWER,No Different than National Benchmark,0.478
340014,SSI: Colon Upper Confidence Limit,HAI_3_CI_UPPER,No Different than National Benchmark,1.955
340014,"SSI: Colon, Number of Procedures",HAI_3_DOPC_DAYS,No Different than National Benchmark,300
340014,SSI: Colon Predicted Cases,HAI_3_ELIGCASES,No Different than National Benchmark,7.769
340014,SSI: Colon Observed Cases,HAI_3_NUMERATOR,No Different than National Benchmark,8
340014,Surgical Site Infection from colon surgery (SSI: Colon),HAI_3_SIR,No Different than National Benchmark,1.03
340014,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,No Different than National Benchmark,0.019
340014,SSI: Abdominal Upper Confidence Limit,HAI_4_CI_UPPER,No Different than National Benchmark,1.885
340014,"SSI: Abdominal, Number of Procedures",HAI_4_DOPC_DAYS,No Different than National Benchmark,324
340014,SSI: Abdominal Predicted Cases,HAI_4_ELIGCASES,No Different than National Benchmark,2.617
340014,SSI: Abdominal Observed Cases,HAI_4_NUMERATOR,No Different than National Benchmark,1
340014,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),HAI_4_SIR,No Different than National Benchmark,0.382
340014,MRSA Lower Confidence Limit,HAI_5_CI_LOWER,Worse than the National Benchmark,1.065
340014,MRSA Upper Confidence Limit,HAI_5_CI_UPPER,Worse than the National Benchmark,2.24
340014,MRSA Patient Days,HAI_5_DOPC_DAYS,Worse than the National Benchmark,226873
340014,MRSA Predicted Cases,HAI_5_ELIGCASES,Worse than the National Benchmark,17.821
340014,MRSA Observed Cases,HAI_5_NUMERATOR,Worse than the National Benchmark,28
340014,Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),HAI_5_SIR,Worse than the National Benchmark,1.571
340014,C.diff Lower Confidence Limit,HAI_6_CI_LOWER,No Different than National Benchmark,0.794
340014,C.diff Upper Confidence Limit,HAI_6_CI_UPPER,No Different than National Benchmark,1.076
340014,C.diff Patient Days,HAI_6_DOPC_DAYS,No Different than National Benchmark,200363
340014,C.diff Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,179.048
340014,C.diff Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,166
340014,Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),HAI_6_SIR,No Different than National Benchmark,0.927
340015,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,Not Available,Not Available
340015,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,Not Available,Not Available
340015,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,Not Available,Not Available
340015,CLABSI: Predicted Cases,HAI_1_ELIGCASES,Not Available,Not Available
340015,CLABSI: Observed Cases,HAI_1_NUMERATOR,Not Available,Not Available
340015,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available
340015,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,Not Available,Not Available
340015,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,Not Available,Not Available
340015,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,Not Available,Not Available
340015,CAUTI: Predicted Cases,HAI_2_ELIGCASES,Not Available,Not Available
