id,provider_id,payment_measure_name,payment_measure_id,payment_category,payment,n_score,value_of_care_display_name,value_of_care_display_id,value_of_care_category,,,
21,340010,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21257,0.35,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
22,340010,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15423,0.64,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
23,340010,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23011,0.53,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
24,340010,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16915,0.6,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
25,340013,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22193,0.52,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
26,340013,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14252,0.37,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
27,340013,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23955,0.64,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
28,340013,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15807,0.43,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
29,340014,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,20577,0.23,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
30,340014,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,15276,0.61,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
31,340014,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20602,0.24,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Better complications and lower payment,,,
32,340014,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,16221,0.49,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
33,340015,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,19248,0,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
34,340015,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15231,0.6,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
35,340015,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22867,0.51,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
36,340015,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17009,0.61,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
37,340016,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22155,0.51,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
38,340016,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15233,0.6,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
39,340016,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23446,0.58,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
40,340016,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15339,0.36,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
41,340017,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,24957,1,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
42,340017,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16324,0.85,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
43,340017,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22007,0.41,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
44,340017,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17146,0.63,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
45,340020,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,24863,0.98,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
46,340020,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15148,0.58,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
47,340020,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23914,0.63,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
48,340020,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,14399,0.21,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
49,340021,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22786,0.62,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
50,340021,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16263,0.84,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
51,340021,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20032,0.17,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
52,340021,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,18254,0.8,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and higher payment,,,
53,340023,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23424,0.73,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
54,340023,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16493,0.89,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
55,340023,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22127,0.42,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
56,340023,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,18674,0.87,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,,,
57,340024,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22778,0.62,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
58,340024,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14574,0.45,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
59,340024,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22088,0.42,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
60,340024,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15658,0.41,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
61,340027,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,20270,0.18,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
62,340027,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15508,0.66,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
63,340027,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,26161,0.9,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
64,340027,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16752,0.57,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
65,340028,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22160,0.51,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
66,340028,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14247,0.37,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Better mortality and lower payment,,,
67,340028,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21707,0.37,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
68,340028,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16721,0.57,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
69,340030,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,21524,0.4,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
70,340030,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15636,0.69,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
71,340030,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21354,0.33,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
72,340030,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17135,0.63,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
73,340032,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23305,0.71,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
74,340032,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15802,0.73,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
75,340032,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21247,0.32,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
76,340032,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17491,0.69,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
78,340037,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16977,1,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
80,340037,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16863,0.59,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
81,340039,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22194,0.52,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
82,340039,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15036,0.55,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
83,340039,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22252,0.44,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
84,340039,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17214,0.64,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
85,340040,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,22163,0.51,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
86,340040,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15964,0.77,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
87,340040,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,23378,0.57,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
88,340040,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17032,0.62,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
89,340041,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21664,0.42,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
90,340041,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16339,0.85,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
91,340041,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,27009,1,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
92,340041,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17479,0.69,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
93,340042,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22533,0.58,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
94,340042,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15139,0.58,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
95,340042,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22143,0.42,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
96,340042,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16989,0.61,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
97,340047,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,21366,0.37,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
98,340047,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16351,0.86,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
99,340047,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20887,0.27,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
100,340047,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16747,0.57,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Better mortality and average payment,,,
103,340049,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,19863,0.15,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
105,340050,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,21328,0.36,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
106,340050,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,13936,0.3,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
107,340050,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23395,0.57,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
108,340050,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15457,0.38,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
109,340051,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21337,0.37,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
110,340051,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16173,0.82,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
111,340051,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21370,0.33,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
112,340051,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16245,0.5,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
113,340053,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23373,0.72,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
114,340053,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15755,0.72,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
115,340053,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,19994,0.17,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
116,340053,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16358,0.51,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
117,340060,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23826,0.8,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
118,340060,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15210,0.59,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
120,340060,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15750,0.42,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
121,340061,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,21218,0.35,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
122,340061,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16542,0.9,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
123,340061,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,26216,0.91,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
124,340061,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17010,0.61,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
125,340064,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23223,0.7,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
126,340064,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15838,0.74,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
127,340064,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22780,0.5,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
128,340064,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,19020,0.92,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,,,
129,340068,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22605,0.59,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
130,340068,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15002,0.55,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
131,340068,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,25673,0.84,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
132,340068,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17253,0.65,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,
133,340069,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22257,0.53,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
134,340069,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,15232,0.6,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
135,340069,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20956,0.28,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
136,340069,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,16303,0.51,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and lower payment,,,
137,340070,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21969,0.48,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
138,340070,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16036,0.78,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Worse mortality and average payment,,,
139,340070,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22029,0.41,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,"$16,977 "
140,340070,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17395,0.67,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Worse mortality and average payment,,,"$12,630 "
141,340071,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22777,0.62,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,"$4,347 "
142,340071,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15757,0.72,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
143,340071,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22920,0.51,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
144,340071,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,14954,0.3,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
145,340073,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,24085,0.85,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
146,340073,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15494,0.66,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
147,340073,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22086,0.42,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
148,340073,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15771,0.42,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
149,340075,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,21594,0.41,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
150,340075,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14046,0.33,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
151,340075,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,24331,0.68,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,,,
152,340075,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16495,0.53,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
156,340084,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,19534,1,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
158,340085,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15828,0.74,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
159,340085,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,23532,0.59,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
160,340085,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16540,0.54,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
162,340087,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16096,0.8,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
164,340087,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15531,0.39,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
165,340090,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,23848,0.81,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
166,340090,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,14920,0.53,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
