id,provider_id,measure_name,measure_id,compared_to_national,score,n_score
23,340002,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,17.5,0.108531956
24,340002,Death rate for stroke patients,MORT_30_STK,Worse than the National Rate,17.9,0.116731008
25,340002,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,4.4,0.029310461
26,340002,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Better than the National Rate,4.5,0.030167142
27,340002,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,1.77,0.012436364
28,340002,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.4,0.008829149
29,340002,Pressure sores,PSI_3_ULCER,Better than the National Rate,0.03,-0.000168568
30,340002,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,116.59,0.789659145
31,340002,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,Worse than the National Rate,0.62,0.003005743
32,340002,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.18,0.000801764
33,340002,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
34,340002,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.81,0.005788497
35,340003,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3.8,0.206174201
38,340003,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,5.7,0.038773546
39,340003,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,11.4,0.064766691
40,340003,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,17.6,0.109154272
41,340003,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,14.2,0.092521102
42,340003,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,6,0.040116161
43,340003,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,12.43,0.084046745
44,340003,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.2,0.015563636
45,340003,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.46,0.009224484
46,340003,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.28,0.001236163
48,340003,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.38,0.001717567
49,340003,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.15,0.000601323
50,340003,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
51,340003,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.95,0.006827458
52,340004,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.2,0.117971334
53,340004,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,12.5,0.094156827
54,340004,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,2.7,0.149659864
55,340004,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.5,0.051148082
56,340004,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,13,0.073904849
57,340004,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,18,0.111643537
58,340004,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,13.7,0.089249493
59,340004,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,4.8,0.032011886
60,340004,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,9.55,0.064478869
61,340004,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.11,0.014909091
62,340004,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.16,0.007247809
63,340004,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.11,0.000280946
64,340004,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,134.78,0.912922681
65,340004,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.36,0.00161022
66,340004,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.1,0.000267255
67,340004,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
68,340004,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.76,0.00541744
69,340008,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.9,0.156560088
70,340008,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,13,0.097941266
72,340008,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.5,0.051148082
73,340008,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,11.8,0.067051231
74,340008,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,15.5,0.096085631
75,340008,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,14.8,0.096447033
76,340008,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,4.96,0.033092456
77,340008,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,8.66,0.058431852
78,340008,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.24,0.015854545
79,340008,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,0.82,0.005007577
80,340008,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.18,0.000674271
82,340008,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.34,0.001502872
83,340008,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.14,0.000534509
84,340008,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
85,340008,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.69,0.004897959
86,340010,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3.2,0.173098126
87,340010,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,16,0.120647896
89,340010,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.5,0.051148082
90,340010,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,10.1,0.057341938
91,340010,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,17.7,0.109776588
92,340010,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,16,0.104298894
93,340010,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,3.94,0.026203823
94,340010,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,10.86,0.073379535
95,340010,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.43,0.017236364
96,340010,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.18,0.007379588
97,340010,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.63,0.003202787
98,340010,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,134.14,0.908585756
99,340010,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.42,0.001932263
100,340010,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.17,0.00073495
101,340010,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
102,340010,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.78,0.005565863
103,340013,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3.3,0.178610805
104,340013,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,14.5,0.109294581
106,340013,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.8,0.053210505
107,340013,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,12,0.0681935
108,340013,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,17.3,0.107287323
109,340013,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,15.3,0.099718642
110,340013,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,4.07,0.027081786
112,340013,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.18,0.015418182
113,340013,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,2.07,0.013243724
114,340013,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.23,0.000955217
116,340013,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.35,0.001556546
117,340013,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.14,0.000534509
118,340013,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
119,340013,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.94,0.006753247
120,340014,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Better than the National Rate,1.9,0.101433297
121,340014,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,12.7,0.095670602
122,340014,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,2.8,0.155328798
123,340014,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.6,0.051835556
124,340014,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,12,0.0681935
125,340014,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,16.8,0.104175742
126,340014,Death rate for stroke patients,MORT_30_STK,Worse than the National Rate,18.1,0.118039652
127,340014,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,3.77,0.025055717
128,340014,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,11.55,0.078067672
129,340014,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.22,0.015709091
130,340014,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.64,0.01041049
131,340014,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.39,0.001854245
132,340014,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,155.35,1.052314156
133,340014,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.24,0.000966132
134,340014,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.3,0.001603528
135,340014,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
136,340014,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.84,0.006011132
137,340015,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3.2,0.173098126
138,340015,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,14.2,0.107023918
140,340015,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,9.4,0.064210092
141,340015,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,14,0.079616197
142,340015,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,19.4,0.120355965
143,340015,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,14.5,0.094484067
144,340015,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,5.04,0.033632741
145,340015,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,7.58,0.051093899
146,340015,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.67,0.018981818
147,340015,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.2,0.007511366
148,340015,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.42,0.002022813
149,340015,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,136.92,0.927424273
150,340015,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.42,0.001932263
151,340015,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.21,0.001002205
152,340015,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
153,340015,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.82,0.005862709
154,340016,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3.9,0.21168688
155,340016,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,13.1,0.098698153
157,340016,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,9,0.061460195
158,340016,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,11.1,0.063053287
159,340016,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,16.5,0.102308793
160,340016,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,12.9,0.084014919
161,340016,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,5.23,0.034915918
162,340016,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,8.89,0.059994564
163,340016,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.23,0.015781818
164,340016,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,2.23,0.014297951
165,340016,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.8,0.004158004
166,340016,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,141.12,0.955885343
167,340016,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.54,0.002576351
168,340016,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.14,0.000534509
169,340016,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
170,340016,Serious complications,PSI_90_SAFETY,No Different than the National Rate,1.12,0.008089054
171,340017,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.2,0.117971334
172,340017,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,13.8,0.103996367
174,340017,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.5,0.051148082
175,340017,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,11.4,0.064766691
176,340017,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,15.9,0.098574896
177,340017,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,14.7,0.095792711
178,340017,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,2.46,0.01620855
180,340017,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.61,0.018545455
181,340017,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.67,0.010608157
182,340017,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.15,0.000505703
183,340017,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,116.7,0.790404554
184,340017,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.32,0.001395524
185,340017,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.11,0.000334068
186,340017,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
187,340017,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.73,0.005194805
188,340020,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.9,0.156560088
189,340020,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,13.4,0.100968816
191,340020,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,8.5,0.058022824
192,340020,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,11.4,0.064766691
193,340020,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,16.4,0.101686477
194,340020,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,17.2,0.112150756
195,340020,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,3.88,0.025798609
197,340020,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.72,0.019345455
198,340020,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.29,0.008104368
199,340020,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.79,0.004101815
200,340020,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,149.73,1.014230535
201,340020,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.46,0.002146959
202,340020,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.14,0.000534509
203,340020,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
204,340020,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.82,0.005862709
205,340021,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.6,0.140022051
206,340021,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,15.1,0.113835907
208,340021,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,9.3,0.063522618
209,340021,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,14.4,0.081900737
210,340021,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,20.8,0.129068393
211,340021,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,14.4,0.093829745
212,340021,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,2.91,0.019247653
213,340021,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,6.87,0.046269874
214,340021,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.57,0.018254545
215,340021,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,0.79,0.00480991
216,340021,Pressure sores,PSI_3_ULCER,Worse than the National Rate,1.39,0.00747317
217,340021,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,136.5,0.924578166
218,340021,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.49,0.002307981
219,340021,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.11,0.000334068
220,340021,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
221,340021,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.67,0.004749536
222,340023,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.7,0.14553473
223,340023,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,12.4,0.093399939
225,340023,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,9.1,0.062147669
226,340023,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,11.8,0.067051231
227,340023,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,16.2,0.100441845
228,340023,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,13.7,0.089249493
229,340023,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,3.62,0.024042683
230,340023,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,9.92,0.066992798
231,340023,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.77,0.019709091
232,340023,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,2.14,0.013704948
233,340023,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.21,0.000842839
234,340023,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,129.06,0.874161415
235,340023,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.36,0.00161022
236,340023,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.14,0.000534509
237,340023,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
238,340023,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.93,0.006679035
239,340024,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,2.8,0.151047409
240,340024,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,13,0.097941266
242,340024,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7.1,0.048398185
243,340024,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,12.5,0.071049175
244,340024,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,No Different than the National Rate,15.4,0.095463314
245,340024,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,13.9,0.090558136
246,340024,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,3.72,0.024718039
248,340024,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.27,0.016072727
249,340024,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,1.26,0.007906701
250,340024,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.27,0.001179974
252,340024,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.38,0.001717567
253,340024,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.15,0.000601323
254,340024,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
255,340024,Serious complications,PSI_90_SAFETY,No Different than the National Rate,0.74,0.005269017
256,340027,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3.2,0.173098126
257,340027,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,14.3,0.107780805
259,340027,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,9.3,0.063522618
260,340027,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No Different than the National Rate,10.9,0.061911017
261,340027,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,20.1,0.124712179
262,340027,Death rate for stroke patients,MORT_30_STK,No Different than the National Rate,13.8,0.089903815
263,340027,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Worse than the National Rate,10,0.067130411
264,340027,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,8.26,0.055714092
265,340027,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,2.17,0.015345455
266,340027,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,0.74,0.004480464
267,340027,Pressure sores,PSI_3_ULCER,No Different than the National Rate,0.75,0.003877058
268,340027,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,149.43,1.012197601
269,340027,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,0.36,0.00161022
270,340027,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,0.41,0.002338478
271,340027,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,0.06,0
272,340027,Serious complications,PSI_90_SAFETY,No Different than the National Rate,1.07,0.007717996
273,340028,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,3,0.162072767
274,340028,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No Different than the National Rate,12.6,0.094913715
275,340028,Death rate for CABG,MORT_30_CABG,No Different than the National Rate,2.8,0.155328798
276,340028,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No Different than the National Rate,7,0.047710711
277,340028,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,Better than the National Rate,9.3,0.05277286
