"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for meaningful use of EHRs","Hospital overall rating","Hospital overall rating footnote","Mortality national comparison","Mortality national comparison footnote","Safety of care national comparison","Safety of care national comparison footnote","Readmission national comparison","Readmission national comparison footnote","Patient experience national comparison","Patient experience national comparison footnote","Effectiveness of care national comparison","Effectiveness of care national comparison footnote","Timeliness of care national comparison","Timeliness of care national comparison footnote","Efficient use of medical imaging national comparison","Efficient use of medical imaging national comparison footnote"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","DALE","3347742601","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","Above the national average","","Same as the national average",""
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","CHEROKEE","2569275531","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","Below the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Above the national average",""
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","3","","Same as the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average",""
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","LEE","3347493411","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","Same as the national average","","Above the national average","","Above the national average","","Above the national average","","Same as the national average","","Above the national average","","Same as the national average",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","WEDOWEE","AL","36278","RANDOLPH","2563572111","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","Acute Care Hospitals","Government - State","Yes","Y","3","","Same as the national average","","Above the national average","","Below the national average","","Above the national average","","Same as the national average","","Below the national average","","Below the national average",""
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","ELMORE","3342836541","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","CULLMAN","2567372000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average",""
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","COVINGTON","3342228466","Acute Care Hospitals","Proprietary","Yes","Y","3","","Same as the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average",""
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","CALHOUN","2562358900","Acute Care Hospitals","Proprietary","Yes","Y","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","MADISON","2562651000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","Below the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","Below the national average",""
