"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","69","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","170","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","40","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","64","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","75","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","62","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","44","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
