"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
