Name,EduScore,Hospital
"Nishant Bhatt, MD",1,University of North Carolina Hospitals
"R. Matthew Coward, MD",2,University of North Carolina Hospitals
"Valerie Jewells, DO",0,North Carolina Specialty Hospital
"Samantha Pulliam, MD",0,Massachusetts General Hospital
"Patricia Marchase Mauro, MD",2,University of North Carolina Hospitals
"Shepard R. Hurwitz, MD",3,University of North Carolina Hospitals
"Rhonda Cadena, MD",0,University of North Carolina Hospitals
"Sally Gowen Stander, MD",0,University of North Carolina Hospitals
"Rebecca E Traub, MD",0,University of North Carolina Hospitals
"Bradley V Vaughn, MD",0,University of North Carolina Hospitals
"Daniel I Kaufer, MD",0,University of North Carolina Hospitals
"Juneko Elaine Grilley-Olson, MD",0,University of North Carolina Hospitals
"Eric M Wallen, MD",2,University of North Carolina Hospitals
"Prashant Kaul, MD",0,University of North Carolina Hospitals
"Marjorie Ann Podraza Stiegler, MD",2,University of North Carolina Hospitals
"Ann G Bailey, MD",0,University of North Carolina Hospitals
"Robert Isaak, DO",0,University of North Carolina Hospitals
"Loree K Kalliainen, MD",2,University of North Carolina Hospitals
"Charles S Hultman, MD",2,University of North Carolina Hospitals
"Jane H Brice, MD",1,University of North Carolina Hospitals
"Troy Maetani, MD",0,University of North Carolina Hospitals
"Denniz A Zolnoun, MD",0,UNC REX Healthcare
"Alan L Hinderliter, MD",3,University of North Carolina Hospitals
"Carrie B Lee, MD",0,University of North Carolina Hospitals
"Richard M. Wardrop III, MD",1,University of North Carolina Hospitals
"Kateryna V Kotlyarevska, MD",0,University of North Carolina Hospitals
"Margaret R Helton, MD",2,University of North Carolina Hospitals
"Andrew C Hannapel, MD",0,University of North Carolina Hospitals
"Brian P Goldstein, MD",2,University of North Carolina Hospitals
"Becky S White, MD",1,University of North Carolina Hospitals
"Sofia Aliaga, MD",0,University of North Carolina Hospitals
"Bich Ngoc Tan, MD",1,UNC REX Healthcare
Kristen Geib,0,University of North Carolina Hospitals
"Yehuda Ringel, MD",0,University of North Carolina Hospitals
"Michael Mill, MD",0,University of North Carolina Hospitals
"Nichole D Grier, MD",1,University of North Carolina Hospitals
"Donald C Spencer, MD",2,University of North Carolina Hospitals
"Philip F Sparling, MD",0,University of North Carolina Hospitals
"Edmund R Campion, MD",1,University of North Carolina Hospitals
"Yueh Lee, MD",1,University of North Carolina Hospitals
"Kathleen Ann (Hurst) Ferrell, PA",0,University of North Carolina Hospitals
"Julia Fielding, MD",2,University of North Carolina Hospitals
"Amy W Shaheen, MD",3,University of North Carolina Hospitals
"Kimberly Ann Gush, MD",1,University of North Carolina Hospitals
"Joseph A Pino, MD",2,University of North Carolina Hospitals
"Peter A Leone, MD",0,University of North Carolina Hospitals
"Ashley L Sherwood, MD",0,University of North Carolina Hospitals
"Christopher Browning Hurt, MD",0,University of North Carolina Hospitals
"Kathleen A Smith, MD",0,University of North Carolina Hospitals
"Alison Goulding Mustoe, MD",0,University of North Carolina Hospitals
"Michael Anthony Simmons, MD",0,University of North Carolina Hospitals
"Kristine B Patterson, MD",2,University of North Carolina Hospitals
"Timothy M Farrell, MD",0,University of North Carolina Hospitals
"Kimberly Mccrudden Erickson, MD",3,University of North Carolina Hospitals
"Cynthia Powell, MD",0,University of North Carolina Hospitals
"William Adam Gower, MD",1,University of North Carolina Hospitals
"Valerie De Maio, MD",0,University of North Carolina Hospitals
"Kevin Patrick Haddix, MD",0,University of North Carolina Hospitals
"Hyeon Yu, MD",0,University of North Carolina Hospitals
"Adam Stern, MD",0,UNC REX Healthcare
"Matthew I Milowsky, MD",0,University of North Carolina Hospitals
"W. Kimryn K Rathmell, MD",3,Vanderbilt University Medical Center
"Laura Klatt (Klatt) House, MD",1,University of North Carolina Hospitals
"Eugenia B Quackenbush, MD",1,University of North Carolina Hospitals
"David Peden, MD",0,University of North Carolina Hospitals
"Meena K (Selvarajan) Mohan, MD",0,UNC REX Healthcare
"Tanya E Zinner, MD",0,University of North Carolina Hospitals
"Cara Dionne Randall, MD",0,University of North Carolina Hospitals
"Dominic Himchan Moon, MD",2,University of North Carolina Hospitals
"Ellen C Wells, MD",1,University of North Carolina Hospitals
"Don A Gabriel, MD",1,University of North Carolina Hospitals
"Patrick H Nachman, MD",0,University of North Carolina Hospitals
"Lee R Berkowitz, MD",1,University of North Carolina Hospitals
"Wesley C Fowler Jr., MD",1,University of North Carolina Hospitals
"Ryan David Madanick, MD",0,University of North Carolina Hospitals
"Richard Lee Clark, MD",3,University of North Carolina Hospitals
"Mary Elizabeth Schlegel, MD",2,University of North Carolina Hospitals
"Dana Michelle Neutze, MD",0,University of North Carolina Hospitals
"Ethan M Basch, MD",0,University of North Carolina Hospitals
"William J Yount, MD",0,University of North Carolina Hospitals
"David R Rubinow, MD",3,University of North Carolina Hospitals
"Maureane Hoffman, MD",0,Duke University Hospital
"Elizabeth B Dreesen, MD",0,University of North Carolina Hospitals
"Patrick Eulitt, MD",0,University of North Carolina Hospitals
"Laura Klatt (Klatt) House, MD",1,University of North Carolina Hospitals
"David Peden, MD",0,University of North Carolina Hospitals
"Eugenia B Quackenbush, MD",1,University of North Carolina Hospitals
"Stephanie Sussman, MD",0,University of North Carolina Hospitals
"Timothy Ned Taft, MD",0,University of North Carolina Hospitals
"Kenya A. Mcneal-Trice, MD",0,University of North Carolina Hospitals
"Colette Joan Shen, MD",3,University of North Carolina Hospitals
"Clayton Ellis, MD",0,University of North Carolina Hospitals
"Joanne M Jordan, MD",3,University of North Carolina Hospitals
"Fred Charles Fowler, MD",0,Novant Health Presbyterian Medical Center
"Myron S Cohen, MD",0,University of North Carolina Hospitals
"Youssef Siage, MD",0,University of North Carolina Hospitals
"James R Yankaskas, MD",0,University of North Carolina Hospitals
"Mark A Farber, MD",0,University of North Carolina Hospitals
"Matthew M Laughon, MD",1,University of North Carolina Hospitals
"Francisco A Sylvester, MD",0,University of North Carolina Hospitals
"Bradley David Figler, MD",2,University of North Carolina Hospitals
"Joshua Tennant, MD",1,University of North Carolina Hospitals
"Brooke Alison Chidgey, MD",0,University of North Carolina Hospitals
"Matthew C Foster, MD",1,University of North Carolina Hospitals
"Scott P Commins, MD",0,University of North Carolina Hospitals
"John F Boggess, MD",0,University of North Carolina Hospitals
"Kathryn Watson Cobb, MD",0,University of North Carolina Hospitals
"Ellen L Jones, MD",1,Harnett Health System
"L. Jarrett Barnhill, MD",0,University of North Carolina Hospitals
"Wendy R. Brewster, MD",2,UNC REX Healthcare
"Janelle Ruth Bludorn, PA",0,Santa Barbara Cottage Hospital
"Michelle Curtis Roughton, MD",1,University of North Carolina Hospitals
"Thomas Hill, MD",0,Catawba Valley Medical Center
"Jeyhan S Wood, MD",0,University of North Carolina Hospitals
"Sabina Ahmed Mir, MD",2,University of North Carolina Hospitals
"Leon S Bacchus, MD",0,University of North Carolina Hospitals
"Kathleen K Bradford, MD",0,University of North Carolina Hospitals
"Robert F Ostrum, MD",0,University of North Carolina Hospitals
"William K Funkhouser, MD",2,University of North Carolina Hospitals
"Kelsey Robert Budd, MD",0,University of North Carolina Hospitals
"Jonathan Kombrinck, MD",0,University of Mississippi Medical Center
"John P Vavalle, MD",1,University of North Carolina Hospitals
"Benny L Joyner Jr., MD",1,University of North Carolina Hospitals
"John H Gilmore Jr., MD",1,University of North Carolina Hospitals
"Aida M Lugo-Somolinos, MD",0,University of North Carolina Hospitals
"David Joseph Berkoff, MD",1,University of North Carolina Hospitals
"Timothy S Kuwada, MD",0,Carolinas Medical Center
"Anthony Passannante, MD",0,University of North Carolina Hospitals
"Hong J Kim, MD",1,UNC REX Healthcare
"Shannon R Morris, MD",2,University of North Carolina Hospitals
"Michael E Woods, MD",0,University of North Carolina Hospitals
"Narges Farahi, MD",2,University of North Carolina Hospitals
"Dario Roque, MD",0,University of North Carolina Hospitals
"Robert Lacin, MD",2,UNC REX Healthcare
"Heidi L Roth, MD",0,University of North Carolina Hospitals
"Robert S Greenwood, MD",0,WakeMed Raleigh Campus
"Beth L Jonas, MD",0,University of North Carolina Hospitals
"Robert K McClure, MD",0,University of North Carolina Hospitals
"James C Garbutt, MD",0,University of North Carolina Hospitals
"Vimal Kumar Derebail, MD",0,University of North Carolina Hospitals
"Nigel S Key, MD",0,University of North Carolina Hospitals
"Lynne Morgan, MD",2,University of North Carolina Hospitals
"Daniel Alberto Roque, MD",0,University of North Carolina Hospitals
"Jason James Eckel, MD",1,UNC REX Healthcare
"Abhishek Mehrotra, MD",1,University of North Carolina Hospitals
"Charles H Hicks, MD",1,University of North Carolina Hospitals
"Margaret Leigh, MD",0,University of North Carolina Hospitals
"Lawrence Thomas Kim, MD",1,University of North Carolina Hospitals
"Timothy Michael Hoffman, MD",0,University of North Carolina Hospitals
"John Preston Downs, MD",0,University of North Carolina Hospitals
"Randall Floyd Coombs, MD",1,Duke University Hospital
"Rex J Moody, MD",1,University of North Carolina Hospitals
"Joseph Stuart Rossi, MD",0,St. Vincent Carmel Hospital
"Amy M Ursano, MD",1,University of North Carolina Hospitals
"Denniz A Zolnoun, MD",0,UNC REX Healthcare
"Alan L Hinderliter, MD",3,University of North Carolina Hospitals
"Carrie B Lee, MD",0,University of North Carolina Hospitals
"Richard M. Wardrop III, MD",1,University of North Carolina Hospitals
"Kateryna V Kotlyarevska, MD",0,University of North Carolina Hospitals
"Sharon Theresa Kapeluk, MD",1,University of North Carolina Hospitals
"Anne Z Steiner, MD",2,UNC REX Healthcare
"Ian Jonathan Davis, MD",2,University of North Carolina Hospitals
"Keri Ann Fitzsimmons, MD",1,University of North Carolina Hospitals
"Michael J Steiner, MD",0,University of North Carolina Hospitals
"Monika Nanda, MD",0,University of North Carolina Hospitals
"Blair Robinson, MD",1,UNC REX Healthcare
"Debra L Bynum, MD",1,University of North Carolina Hospitals
"Depesh K Patel, MD",0,University of North Carolina Hospitals
"Mahesh K Varia, MD",0,Harnett Health System
"Diane Warner, MD",0,FirstHealth Moore Regional Hospital
"Julia S Knerr, MD",3,University of North Carolina Hospitals
"Gayle B Thomas, MD",2,University of North Carolina Hospitals
Heather M Schultz,0,University of North Carolina Hospitals
"Maureen Kimani, MD",0,University of North Carolina Hospitals
"David Colin Johnson, MD",1,University of North Carolina Hospitals
"Marcia Koomen, MD",1,University of North Carolina Hospitals
"Jennifer Ke Whitham, MD",0,UNC REX Healthcare
"Harvey Michael Jones, MD",3,University of North Carolina Hospitals
"Justin Wu, MD",3,UNC REX Healthcare
"Katherine C Pandelidis, MD",0,University of North Carolina Hospitals
"Gaorav Gupta, MD",2,University of North Carolina Hospitals
"Jacob Daniel Acton, MD",0,University of North Carolina Hospitals
"Joseph Piven, MD",0,University of North Carolina Hospitals
"Nicole Chaumont, MD",0,University of North Carolina Hospitals
"Emily Graham Teeter, MD",1,University of North Carolina Hospitals
"Sezmin Noorani, MD",0,University of North Carolina Hospitals
"Donald C Spencer, MD",2,University of North Carolina Hospitals
"Philip F Sparling, MD",0,University of North Carolina Hospitals
"Edmund R Campion, MD",1,University of North Carolina Hospitals
"Yueh Lee, MD",1,University of North Carolina Hospitals
"Kathleen Ann (Hurst) Ferrell, PA",0,University of North Carolina Hospitals
"Sarah Kelly McGill, MD",1,University of North Carolina Hospitals
"Edwin H Kim, MD",0,University of North Carolina Hospitals
"Jay Ira Pomerantz, MD",0,University of North Carolina Hospitals
"Julia Lunsford, MD",1,Duke University Hospital
April M Berndt,0,University of North Carolina Hospitals
"Christine (Piascik) Mckenzie, MD",0,University of North Carolina Hospitals
"Nicholas Allen Jernigan, MD",2,Harris Regional Hospital
"Roger F Anderson Jr., MD",3,University of North Carolina Hospitals
"William Arthur Hensel, MD",1,Moses H. Cone Memorial Hospital
"Michael Anthony Simmons, MD",0,University of North Carolina Hospitals
"Kristine B Patterson, MD",2,University of North Carolina Hospitals
"Timothy M Farrell, MD",0,University of North Carolina Hospitals
"Kimberly Mccrudden Erickson, MD",3,University of North Carolina Hospitals
"Cynthia Powell, MD",0,University of North Carolina Hospitals
"William Adam Gower, MD",1,University of North Carolina Hospitals
"Valerie De Maio, MD",0,University of North Carolina Hospitals
"Kevin Patrick Haddix, MD",0,University of North Carolina Hospitals
"Hyeon Yu, MD",0,University of North Carolina Hospitals
"Adam Stern, MD",0,UNC REX Healthcare
"Matthew I Milowsky, MD",0,University of North Carolina Hospitals
"W. Kimryn K Rathmell, MD",3,Vanderbilt University Medical Center
"Laura Klatt (Klatt) House, MD",1,University of North Carolina Hospitals
"Kevin Ray Campbell, MD",0,Johnston Health
"Oluwaseun Adeola Omofoye, MD",1,University of North Carolina Hospitals
"Joseph J Eron Jr., MD",0,University of North Carolina Hospitals
"Jonathan James Hansen, MD",0,University of North Carolina Hospitals
"Nicholas J Shaheen, MD",3,University of North Carolina Hospitals
"Eva Jayne Waller, MD",1,University of North Carolina Hospitals
"Karen A Graham, MD",0,University of North Carolina Hospitals
"Abhijit V Kshirsagar, MD",2,University of North Carolina Hospitals
Emily A Penny,0,University of North Carolina Hospitals
"Peadar G Noone, MD",0,University of North Carolina Hospitals
"Fred Charles Fowler, MD",0,Novant Health Presbyterian Medical Center
"John F Boggess, MD",0,University of North Carolina Hospitals
"Matthew C Foster, MD",1,University of North Carolina Hospitals
"Brooke Alison Chidgey, MD",0,University of North Carolina Hospitals
"James R Yankaskas, MD",0,University of North Carolina Hospitals
"Matthew M Laughon, MD",1,University of North Carolina Hospitals
"Mark A Farber, MD",0,University of North Carolina Hospitals
"Francisco A Sylvester, MD",0,University of North Carolina Hospitals
"Scott P Commins, MD",0,University of North Carolina Hospitals
"Theodore E Yaeger IV, MD",0,Caldwell Memorial Hospital
"David M Margolis, MD",0,University of North Carolina Hospitals
"Cory Lyn Annis, MD",0,University of North Carolina Hospitals
"Hiren Harshadray Mehta, MD",0,WakeMed Raleigh Campus
"Gary N Asher, MD",0,University of North Carolina Hospitals
"Patrick A Thompson, MD",2,University of North Carolina Hospitals
"Megan Justine Difurio, MD",0,University of North Carolina Hospitals
"Julie Sharpless, MD",3,University of North Carolina Hospitals
"Maurice Bernard Landers III, MD",2,University of North Carolina Hospitals
"Thomas George Caranasos, MD",0,University of North Carolina Hospitals
"Stephen Leinenweber, MD",0,University of North Carolina Hospitals
"Tolga Mesen, MD",0,UNC REX Healthcare
"Esa Alohilani Bloedon, MD",0,University of North Carolina Hospitals
"Nicholas Shungu, MD",3,University of North Carolina Hospitals
"David Grimes, MD",1,University of North Carolina Hospitals
"Autumn Jackson McRee, MD",0,University of North Carolina Hospitals
"Don Armstrong, MD",1,University of North Carolina Hospitals
"Brian Thomas Bramson, MD",0,University of North Carolina Hospitals
"Timothy Weiner, MD",0,University of North Carolina Hospitals
"William A Mills Jr., MD",1,University of North Carolina Hospitals
"A. Wesley Burks, MD",0,Duke University Hospital
"Peter Greene, MD",0,University of North Carolina Hospitals
"Jama M Darling, MD",1,UNC REX Healthcare
"Paula F Miller, MD",1,University of North Carolina Hospitals
"Barbara A Bergdolt, MD",2,University of North Carolina Hospitals
"William K Funkhouser, MD",2,University of North Carolina Hospitals
"Kelsey Robert Budd, MD",0,University of North Carolina Hospitals
"Jonathan Kombrinck, MD",0,University of Mississippi Medical Center
"Richard H Weisler, MD",1,UNC REX Healthcare
"Nishant Bhatt, MD",1,University of North Carolina Hospitals
"Abhishek Mehrotra, MD",1,University of North Carolina Hospitals
"Charles H Hicks, MD",1,University of North Carolina Hospitals
"Timothy Michael Hoffman, MD",0,University of North Carolina Hospitals
"Lynne Morgan, MD",2,University of North Carolina Hospitals
"Nigel S Key, MD",0,University of North Carolina Hospitals
"Kathryn Watson Cobb, MD",0,University of North Carolina Hospitals
"L. Jarrett Barnhill, MD",0,University of North Carolina Hospitals
"Janelle Ruth Bludorn, PA",0,Santa Barbara Cottage Hospital
"Carlton R Moore, MD",2,University of North Carolina Hospitals
"Wendy R. Brewster, MD",2,UNC REX Healthcare
"Ana C Felix, MD",0,University of North Carolina Hospitals
"Jonathan Sanford Berg, MD",2,University of North Carolina Hospitals
"Donald K Bynum, MD",0,University of North Carolina Hospitals
"Maya Styner, MD",1,University of North Carolina Hospitals
"Candra Rowell Bass, MD",1,University of North Carolina Hospitals
"Ravindra V Prasad, MD",2,University of North Carolina Hospitals
"Ashley G Henderson, MD",1,University of North Carolina Hospitals
"Adewole Shomare Adamson, MD",1,University of North Carolina Hospitals
"Denniz A Zolnoun, MD",0,UNC REX Healthcare
"Carrie B Lee, MD",0,University of North Carolina Hospitals
"Alan L Hinderliter, MD",3,University of North Carolina Hospitals
"Robert M Aris, MD",2,University of North Carolina Hospitals
"Adam J Zolotor, MD",1,University of North Carolina Hospitals
"Sara Louise (Hebbeler-Pittenger) Pittenger, MD",2,University of North Carolina Hospitals
"Randall Floyd Coombs, MD",1,Duke University Hospital
"John Preston Downs, MD",0,University of North Carolina Hospitals
"Beat Daniel Steiner, MD",1,Duke University Hospital
"Joseph Stuart Rossi, MD",0,St. Vincent Carmel Hospital
"Rex J Moody, MD",1,University of North Carolina Hospitals
"Tiffany Matoska Sills, MD",2,University of North Carolina Hospitals
"Amy M Ursano, MD",1,University of North Carolina Hospitals
"Travis A Meredith, MD",3,University of North Carolina Hospitals
"Richard M. Wardrop III, MD",1,University of North Carolina Hospitals
"Kateryna V Kotlyarevska, MD",0,University of North Carolina Hospitals
"David L Smith, MD",0,University of North Carolina Hospitals
"Joseph A Duncan, MD",1,University of North Carolina Hospitals
"Samuel Cykert, MD",0,University of North Carolina Hospitals
"Thomas M Miller, MD",1,University of North Carolina Hospitals
"Charles R Esther Jr., MD",2,University of North Carolina Hospitals
"Linda S Kinsinger, MD",0,University of North Carolina Hospitals
"Michael Joseph Rosenberg, MD",0,University of North Carolina Hospitals
"Warren P Newton, MD",2,University of North Carolina Hospitals
"David F Ransohoff, MD",2,University of North Carolina Hospitals
"David Carroll Henke, MD",1,University of North Carolina Hospitals
Carolyn G Zook,0,University of North Carolina Hospitals
"Sylvia I Becker-Dreps, MD",3,University of North Carolina Hospitals
"Linda Van Le, MD",3,University of North Carolina Hospitals
"Richard W Sutherland, MD",2,University of North Carolina Hospitals
"Darshan Nilesh Shastri, MD",0,University of North Carolina Hospitals
"Sara Tavernier Burgardt, MD",0,University of North Carolina Hospitals
"Cheryl A Carlson, MD",0,University of North Carolina Hospitals
"Sten Y Solander, MD",0,University of North Carolina Hospitals
"George Stouffer III, MD",0,University of North Carolina Hospitals
"Sharon Theresa Kapeluk, MD",1,University of North Carolina Hospitals
"Anne Z Steiner, MD",2,UNC REX Healthcare
"Ian Jonathan Davis, MD",2,University of North Carolina Hospitals
"Keri Ann Fitzsimmons, MD",1,University of North Carolina Hospitals
"Amir Khandani, MD",1,University of North Carolina Hospitals
"Luis Diaz-Sr, MD",2,UNC REX Healthcare
"Victoria L Bae-Jump, MD",0,University of North Carolina Hospitals
"Christopher L Howarth, MD",2,University of North Carolina Hospitals
"Maria E (Ferris) Diaz-Gonzalez Ferris, MD",0,University of North Carolina Hospitals
"Sean Edward McLean, MD",1,University of North Carolina Hospitals
"Sarah E Smithson, MD",2,University of North Carolina Hospitals
"Terence Wong, MD",1,University of North Carolina Hospitals
"Bianca Verma, MD",2,University of North Carolina Hospitals
"Nathan Sison, MD",0,University of North Carolina Hospitals
"Jacqueline Halladay, MD",1,University of North Carolina Hospitals
"Tatyana Elizabeth Fontenot, MD",0,University of North Carolina Hospitals
"Adam O Goldstein, MD",0,University of North Carolina Hospitals
"Ajay S Gulati, MD",2,University of North Carolina Hospitals
"David M Stamilio, MD",0,FirstHealth Moore Regional Hospital
"Arthur S Aylsworth, MD",3,University of North Carolina Hospitals
"Byron A Lindsey, MD",0,University of North Carolina Hospitals
"Margaret L Gourlay, MD",0,University of North Carolina Hospitals
"Jacob Daniel Acton, MD",0,University of North Carolina Hospitals
"Joseph Piven, MD",0,University of North Carolina Hospitals
"Nicole Chaumont, MD",0,University of North Carolina Hospitals
"Emily Graham Teeter, MD",1,University of North Carolina Hospitals
"Sezmin Noorani, MD",0,University of North Carolina Hospitals
Sarah B Waters,0,University of North Carolina Hospitals
"Aaron Trimble, MD",1,University of North Carolina Hospitals
"Clark R Denniston, MD",0,University of North Carolina Hospitals
"Cristen P Page, MD",1,University of North Carolina Hospitals
"Austin S Rose, MD",1,CarolinaEast Health System
"Julian Gary Rosenman, MD",1,Harnett Health System
"Thomas E Stinchcombe, MD",1,University of North Carolina Hospitals
"Matthew Mauro, MD",2,University of North Carolina Hospitals
"John B Buse, MD",3,University of North Carolina Hospitals
"Hubert James Ford III, MD",0,University of North Carolina Hospitals
"Joshua Franklin Zeidner, MD",0,University of North Carolina Hospitals
"Brian Keith Brodwater, MD",1,New Hanover Regional Medical Center
"Kandace P McGuire, MD",0,University of North Carolina Hospitals
"Sidney E Levinson, MD",2,University of North Carolina Hospitals
"Erin Marie Malloy, MD",0,University of North Carolina Hospitals
"Kim L Isaacs, MD",0,University of North Carolina Hospitals
"Anthony Meyer, MD",3,University of North Carolina Hospitals
"John L Cotton, MD",0,UNC REX Healthcare
"Gary S Winzelberg, MD",1,University of North Carolina Hospitals
"Nancy Chescheir, MD",1,UNC REX Healthcare
"Martin Ulshen, MD",1,Duke University Hospital
"Alice De-Ling Ma, MD",2,University of North Carolina Hospitals
"Joshua Tennant, MD",1,University of North Carolina Hospitals
"Myron S Cohen, MD",0,University of North Carolina Hospitals
"Lisa Jeannette Rose-Jones, MD",0,University of North Carolina Hospitals
"Amy Levine, MD",2,University of North Carolina Hospitals
"Wayne Price, MD",0,UNC REX Healthcare
"Frances A Collichio, MD",1,University of North Carolina Hospitals
"Hartwig Bunzendahl, MD",0,University of North Carolina Hospitals
"Stephanie Sussman, MD",0,University of North Carolina Hospitals
"Enrique Galang, MD",0,University of North Carolina Hospitals
"Joan Beckman, MD",0,University of North Carolina Hospitals
